-731,3107,f,m
41,-34,f,s
767,-1776,f,s
3088,2608,f,s
-2670,1988,f,s
3270,-593,f,l
73,1416,f,m
218,1708,f,s
-2503,2358,f,s
223,-2975,f,s
-1856,1999,f,s
-1672,528,f,l
665,-2736,f,m
-2281,219,f,s
1978,943,f,s
-2645,1713,f,s
3172,1439,f,s
2164,-1683,f,l
-1015,1274,f,m
145,-2642,f,s
-2583,-1866,f,s
2776,2376,f,s
-614,750,f,s
1040,-879,f,l
-1908,-44,f,m
-2407,1379,f,s
2940,1084,f,s
184,1795,f,s
-423,3180,f,s
-1825,-346,f,l
822,318,f,m
2325,699,f,s
1634,-473,f,s
-546,-796,f,s
2802,-2406,f,s
2556,-1890,f,l
1812,3134,f,m
1625,-2718,f,s
1781,-1802,f,s
-1974,1449,f,s
614,2311,f,s
508,3472,f,l
-990,1178,f,m
-639,-517,f,s
-518,2049,f,s
-1272,2748,f,s
-743,-2791,f,s
-1639,-2629,f,l
1838,3210,f,m
-2891,2203,f,s
2644,-385,f,s
-722,-2882,f,s
1204,1645,f,s
-1513,1398,f,l
-718,-2267,f,m
719,3364,f,s
-1508,2436,f,s
188,-1062,f,s
-1417,2264,f,s
2629,-829,f,l
2282,-1570,f,m
2219,-1367,f,s
-1766,-1029,f,s
1663,-160,f,s
958,-2888,f,s
-2201,1696,f,l
-1682,-772,f,m
2548,-257,f,s
1676,1800,f,s
1906,-1897,f,s
344,-1698,f,s
-2786,74,f,l
1349,391,f,m
-2908,-2178,f,s
2843,-1914,f,s
-2860,2230,f,s
3306,222,f,s
-970,1685,f,l
1634,-219,f,m
2080,3197,f,s
-167,163,f,s
3068,-301,f,s
-1700,-2726,f,s
1592,2500,f,l
1624,-1944,f,m
-1170,3436,f,s
459,1868,f,s
1152,-572,f,s
-274,-839,f,s
1015,-2077,f,l
1849,-1644,f,m
-2302,1574,f,s
2,1234,f,s
-188,-582,f,s
2274,-2523,f,s
328,2107,f,l
3291,2574,f,m
-2554,3216,f,s
-1505,-47,f,s
-2354,104,f,s
124,-792,f,s
-1330,3385,f,l
-2746,-2411,f,m
75,-1832,f,s
540,675,f,s
-1463,-197,f,s
1047,1254,f,s
1273,2788,f,l
-1560,1552,f,m
387,2170,f,s
750,2633,f,s
2696,2563,f,s
541,-687,f,s
1259,-986,f,l
-1474,757,f,m
1015,2302,f,s
2790,30,f,s
-1926,282,f,s
-1795,2257,f,s
2701,-1431,f,l
-1824,-73,f,m
2236,-1479,f,s
-2119,-2404,f,s
6,1712,f,s
2653,1396,f,s
1483,1251,f,l
2024,-1972,f,m
1505,-2247,f,s
2533,-984,f,s
-2403,-2881,f,s
-2467,550,f,s
-55,2133,f,l
778,2506,f,m
-641,-1211,f,s
351,-448,f,s
171,-2165,f,s
244,-1423,f,s
3215,-1715,f,l
-535,-1729,f,m
-1436,-840,f,s
3466,2308,f,s
1128,-453,f,s
3207,-1283,f,s
-455,1946,f,l
-774,199,f,m
721,841,f,s
879,-1880,f,s
1314,-1586,f,s
879,-2370,f,s
3011,-748,f,l
